2024-01-01 15:01:388 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-01 15:01:338 INFO  HomePage :93 - CLicking on Contact us header tab : [[[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-01 15:01:413 INFO  ContactUsPage :55 - Getting text from welcome page : [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //h2[normalize-space()='Get In Touch']]
2024-01-01 15:01:965 INFO  ContactUsPage :61 - Sending Maitri to name field : [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //input[@placeholder='Name']]
2024-01-01 15:01:386 INFO  ContactUsPage :66 - Sending maitri20@gmail.com to email field : [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //input[@placeholder='Email']]
2024-01-01 15:01:765 INFO  ContactUsPage :71 - Sending About product to subject field : [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //input[@placeholder='Subject']]
2024-01-01 15:01:825 INFO  ContactUsPage :75 - Sending This product is nice to message field : [[ChromeDriver: chrome on windows (0f3fdd25a7b896d9c552fc3d9be39b9d)] -> xpath: //textarea[@id='message']]
2024-01-01 15:01:385 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-01 15:01:384 INFO  HomePage :93 - CLicking on Test Cases header tab : [[[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (b73ad7d2795e07546d88983c285cd557)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2024-01-01 15:01:60 INFO  HomePage :14 - Getting Home Page URL : 
2024-01-01 15:01:757 INFO  HomePage :106 - Getting Home Page URL : 
2024-01-01 15:01:120 INFO  HomePage :146 - Scroll Down to Subscription
2024-01-01 15:01:750 INFO  HomePage :168 - Sending maitri20@gmail.com to subscription email field : [[ChromeDriver: chrome on windows (a4a5e89b6e3201bf17760105a9dcf3f8)] -> xpath: //input[@id='susbscribe_email']]
2024-01-01 15:01:926 INFO  HomePage :173 - Clicking on subscription arrow button : [[ChromeDriver: chrome on windows (a4a5e89b6e3201bf17760105a9dcf3f8)] -> xpath: //i[@class='fa fa-arrow-circle-o-right']]
2024-01-01 15:01:31 INFO  HomePage :177 - Getting subscription success message : [[ChromeDriver: chrome on windows (a4a5e89b6e3201bf17760105a9dcf3f8)] -> xpath: //div[@class='alert-success alert']]
2024-01-01 15:01:662 INFO  HomePage :106 - Getting Home Page URL : 
